,,Front Left,Front Left,Front Right,Front Right,Rear Left,Rear Left,Rear Right,Rear Right,,,,
,Step,Up/Down,Fwd/Back,Up/Down,Fwd/Back,Up/Down,Fwd/Back,Up/Down,Fwd/Back,,,,
,1,0,0.7101449275,0,0,0,0,0,0.7101449275,,,,
,2,0,0.6956521739,0.0769230769,0,0.0769230769,0,0,0.6956521739,,,,
,3,0,0.6811594203,0.1538461538,0,0.1538461538,0,0,0.6811594203,,,,
,4,0,0.6666666667,0.2307692308,0,0.2307692308,0,0,0.6666666667,,,,
,5,0,0.652173913,0.3076923077,0,0.3076923077,0,0,0.652173913,,,,
,6,0,0.6376811594,0.3846153846,0.05,0.3846153846,0.05,0,0.6376811594,,,,
,7,0,0.6231884058,0.4615384615,0.1,0.4615384615,0.1,0,0.6231884058,,,,
,8,0,0.6086956522,0.5384615385,0.15,0.5384615385,0.15,0,0.6086956522,,,,
,9,0,0.5942028986,0.6153846154,0.2,0.6153846154,0.2,0,0.5942028986,,,,
,10,0,0.5797101449,0.6923076923,0.25,0.6923076923,0.25,0,0.5797101449,,,,
,11,0,0.5652173913,0.7692307692,0.3,0.7692307692,0.3,0,0.5652173913,,,,
,12,0,0.5507246377,0.8461538462,0.35,0.8461538462,0.35,0,0.5507246377,,,,
,13,0,0.5362318841,0.9230769231,0.4,0.9230769231,0.4,0,0.5362318841,,,,
,14,0,0.5217391304,1,0.45,1,0.45,0,0.5217391304,,,,
,15,0,0.5072463768,1,0.5,1,0.5,0,0.5072463768,,,,
,16,0,0.4927536232,1,0.55,1,0.55,0,0.4927536232,,,,
,17,0,0.4782608696,1,0.6,1,0.6,0,0.4782608696,,,,
,18,0,0.4637681159,1,0.65,1,0.65,0,0.4637681159,,,,
,19,0,0.4492753623,1,0.7,1,0.7,0,0.4492753623,,,,
,20,0,0.4347826087,0.9230769231,0.75,0.9230769231,0.75,0,0.4347826087,,,,
,21,0,0.4202898551,0.8461538462,0.8,0.8461538462,0.8,0,0.4202898551,,,,
,22,0,0.4057971014,0.7692307692,0.85,0.7692307692,0.85,0,0.4057971014,,,,
,23,0,0.3913043478,0.6923076923,0.9,0.6923076923,0.9,0,0.3913043478,,,,
,24,0,0.3768115942,0.6153846154,0.95,0.6153846154,0.95,0,0.3768115942,,,,
,25,0,0.3623188406,0.5384615385,1,0.5384615385,1,0,0.3623188406,,,,
,26,0,0.347826087,0.4615384615,1,0.4615384615,1,0,0.347826087,,,,
,27,0,0.3333333333,0.3846153846,1,0.3846153846,1,0,0.3333333333,,,,
,28,0,0.3188405797,0.3076923077,1,0.3076923077,1,0,0.3188405797,,,,
,29,0,0.3043478261,0.2307692308,1,0.2307692308,1,0,0.3043478261,,,,
,30,0,0.2898550725,0.1538461538,1,0.1538461538,1,0,0.2898550725,,,,
,31,0,0.2753623188,0.0769230769,1,0.0769230769,1,0,0.2753623188,,,,
,32,0,0.2608695652,0,0.9855072464,0,0.9855072464,0,0.2608695652,,,,
,33,0,0.2463768116,0,0.9710144928,0,0.9710144928,0,0.2463768116,,,,
,34,0,0.231884058,0,0.9565217391,0,0.9565217391,0,0.231884058,,,,
,35,0,0.2173913043,0,0.9420289855,0,0.9420289855,0,0.2173913043,,,,
,36,0,0.2028985507,0,0.9275362319,0,0.9275362319,0,0.2028985507,,,,
,37,0,0.1884057971,0,0.9130434783,0,0.9130434783,0,0.1884057971,,,,
,38,0,0.1739130435,0,0.8985507246,0,0.8985507246,0,0.1739130435,,,,
,39,0,0.1594202899,0,0.884057971,0,0.884057971,0,0.1594202899,,,,
,40,0,0.1449275362,0,0.8695652174,0,0.8695652174,0,0.1449275362,,,,
,41,0,0.1304347826,0,0.8550724638,0,0.8550724638,0,0.1304347826,,,,
,42,0,0.115942029,0,0.8405797101,0,0.8405797101,0,0.115942029,,,,
,43,0,0.1014492754,0,0.8260869565,0,0.8260869565,0,0.1014492754,,,,
,44,0,0.0869565217,0,0.8115942029,0,0.8115942029,0,0.0869565217,,,,
,45,0,0.0724637681,0,0.7971014493,0,0.7971014493,0,0.0724637681,,,,
,46,0,0.0579710145,0,0.7826086957,0,0.7826086957,0,0.0579710145,,,,
,47,0,0.0434782609,0,0.768115942,0,0.768115942,0,0.0434782609,,,,
,48,0,0.0289855072,0,0.7536231884,0,0.7536231884,0,0.0289855072,,,,
,49,0,0.0144927536,0,0.7391304348,0,0.7391304348,0,0.0144927536,,,,
,50,0,0,0,0.7246376812,0,0.7246376812,0,0,,,,
,51,0,0,0,0.7101449275,0,0.7101449275,0,0,,Linear eq.,,
,52,0.0769230769,0,0,0.6956521739,0,0.6956521739,0.0769230769,0,,,X,Y
,53,0.1538461538,0,0,0.6811594203,0,0.6811594203,0.1538461538,0,,1,0,0
,54,0.2307692308,0,0,0.6666666667,0,0.6666666667,0.2307692308,0,,2,13,1
,55,0.3076923077,0,0,0.652173913,0,0.652173913,0.3076923077,0,,,,
,56,0.3846153846,0.05,0,0.6376811594,0,0.6376811594,0.3846153846,0.05,,Test point,,
,57,0.4615384615,0.1,0,0.6231884058,0,0.6231884058,0.4615384615,0.1,,X,12,
,58,0.5384615385,0.15,0,0.6086956522,0,0.6086956522,0.5384615385,0.15,,Y,0.9230769231,
,59,0.6153846154,0.2,0,0.5942028986,0,0.5942028986,0.6153846154,0.2,,,,
,60,0.6923076923,0.25,0,0.5797101449,0,0.5797101449,0.6923076923,0.25,,,,
,61,0.7692307692,0.3,0,0.5652173913,0,0.5652173913,0.7692307692,0.3,,,,
,62,0.8461538462,0.35,0,0.5507246377,0,0.5507246377,0.8461538462,0.35,,,,
,63,0.9230769231,0.4,0,0.5362318841,0,0.5362318841,0.9230769231,0.4,,,,
,64,1,0.45,0,0.5217391304,0,0.5217391304,1,0.45,,,,
,65,1,0.5,0,0.5072463768,0,0.5072463768,1,0.5,,,,
,66,1,0.55,0,0.4927536232,0,0.4927536232,1,0.55,,,,
,67,1,0.6,0,0.4782608696,0,0.4782608696,1,0.6,,,,
,68,1,0.65,0,0.4637681159,0,0.4637681159,1,0.65,,,,
,69,1,0.7,0,0.4492753623,0,0.4492753623,1,0.7,,,,
,70,0.9230769231,0.75,0,0.4347826087,0,0.4347826087,0.9230769231,0.75,,,,
,71,0.8461538462,0.8,0,0.4202898551,0,0.4202898551,0.8461538462,0.8,,,,
,72,0.7692307692,0.85,0,0.4057971014,0,0.4057971014,0.7692307692,0.85,,,,
,73,0.6923076923,0.9,0,0.3913043478,0,0.3913043478,0.6923076923,0.9,,,,
,74,0.6153846154,0.95,0,0.3768115942,0,0.3768115942,0.6153846154,0.95,,,,
,75,0.5384615385,1,0,0.3623188406,0,0.3623188406,0.5384615385,1,,,,
,76,0.4615384615,1,0,0.347826087,0,0.347826087,0.4615384615,1,,,,
,77,0.3846153846,1,0,0.3333333333,0,0.3333333333,0.3846153846,1,,,,
,78,0.3076923077,1,0,0.3188405797,0,0.3188405797,0.3076923077,1,,,,
,79,0.2307692308,1,0,0.3043478261,0,0.3043478261,0.2307692308,1,,,,
,80,0.1538461538,1,0,0.2898550725,0,0.2898550725,0.1538461538,1,,,,
,81,0.0769230769,1,0,0.2753623188,0,0.2753623188,0.0769230769,1,,,,
,82,0,0.9855072464,0,0.2608695652,0,0.2608695652,0,0.9855072464,,,,
,83,0,0.9710144928,0,0.2463768116,0,0.2463768116,0,0.9710144928,,,,
,84,0,0.9565217391,0,0.231884058,0,0.231884058,0,0.9565217391,,,,
,85,0,0.9420289855,0,0.2173913043,0,0.2173913043,0,0.9420289855,,,,
,86,0,0.9275362319,0,0.2028985507,0,0.2028985507,0,0.9275362319,,,,
,87,0,0.9130434783,0,0.1884057971,0,0.1884057971,0,0.9130434783,,,,
,88,0,0.8985507246,0,0.1739130435,0,0.1739130435,0,0.8985507246,,,,
,89,0,0.884057971,0,0.1594202899,0,0.1594202899,0,0.884057971,,,,
,90,0,0.8695652174,0,0.1449275362,0,0.1449275362,0,0.8695652174,,,,
,91,0,0.8550724638,0,0.1304347826,0,0.1304347826,0,0.8550724638,,,,
,92,0,0.8405797101,0,0.115942029,0,0.115942029,0,0.8405797101,,,,
,93,0,0.8260869565,0,0.1014492754,0,0.1014492754,0,0.8260869565,,,,
,94,0,0.8115942029,0,0.0869565217,0,0.0869565217,0,0.8115942029,,,,
,95,0,0.7971014493,0,0.0724637681,0,0.0724637681,0,0.7971014493,,,,
,96,0,0.7826086957,0,0.0579710145,0,0.0579710145,0,0.7826086957,,,,
,97,0,0.768115942,0,0.0434782609,0,0.0434782609,0,0.768115942,,,,
,98,0,0.7536231884,0,0.0289855072,0,0.0289855072,0,0.7536231884,,,,
,99,0,0.7391304348,0,0.0144927536,0,0.0144927536,0,0.7391304348,,,,
,100,0,0.7246376812,0,0,0,0,0,0.7246376812,,,,
